iter	Passed	Remaining
0	23	23426
1	43	21826
2	67	22407
3	86	21655
4	105	20954
5	127	21054
6	146	20846
7	169	21076
8	193	21344
9	214	21258
10	234	21073
11	253	20896
12	274	20847
13	298	21008
14	318	20935
15	337	20736
16	357	20650
17	376	20544
18	398	20558
19	422	20725
20	445	20768
21	469	20859
22	491	20875
23	513	20876
24	537	20951
25	560	20983
26	582	21006
27	607	21091
28	628	21033
29	654	21148
30	678	21198
31	704	21314
32	729	21365
33	754	21428
34	778	21472
35	802	21497
36	826	21507
37	850	21540
38	875	21582
39	898	21552
40	917	21455
41	936	21368
42	958	21327
43	978	21262
44	997	21173
45	1020	21157
46	1042	21140
47	1064	21110
48	1084	21054
49	1107	21051
50	1130	21043
51	1153	21034
52	1175	21005
53	1199	21021
54	1223	21017
55	1246	21009
56	1270	21019
57	1290	20963
58	1312	20937
59	1336	20935
60	1358	20914
61	1379	20865
62	1404	20886
63	1430	20920
64	1456	20950
65	1480	20950
66	1502	20916
67	1527	20935
68	1551	20931
69	1572	20889
70	1595	20874
71	1615	20828
72	1643	20866
73	1668	20881
74	1698	20948
75	1720	20922
76	1744	20905
77	1768	20899
78	1791	20881
79	1814	20863
80	1835	20825
81	1854	20765
82	1878	20751
83	1898	20704
84	1919	20662
85	1948	20708
86	1972	20703
87	2000	20736
88	2032	20802
89	2059	20826
90	2084	20826
91	2117	20894
92	2148	20954
93	2175	20966
94	2205	21010
95	2238	21076
96	2264	21085
97	2287	21053
98	2310	21030
99	2337	21040
100	2367	21075
101	2395	21089
102	2425	21120
103	2456	21160
104	2483	21165
105	2508	21152
106	2534	21154
107	2555	21106
108	2577	21073
109	2602	21054
110	2627	21040
111	2651	21020
112	2674	20991
113	2701	20993
114	2726	20979
115	2750	20962
116	2774	20940
117	2798	20919
118	2821	20891
119	2846	20877
120	2872	20867
121	2901	20879
122	2925	20857
123	2956	20887
124	2983	20883
125	3013	20900
126	3043	20919
127	3078	20973
128	3106	20977
129	3133	20971
130	3157	20948
131	3187	20960
132	3216	20970
133	3243	20960
134	3270	20954
135	3294	20930
136	3318	20906
137	3344	20893
138	3369	20869
139	3394	20849
140	3419	20831
141	3444	20812
142	3469	20792
143	3495	20775
144	3517	20739
145	3547	20751
146	3574	20740
147	3606	20759
148	3638	20778
149	3672	20813
150	3705	20832
151	3736	20843
152	3765	20843
153	3794	20845
154	3822	20838
155	3853	20848
156	3880	20837
157	3907	20823
158	3936	20819
159	3962	20805
160	3994	20816
161	4036	20877
162	4061	20857
163	4086	20832
164	4117	20837
165	4153	20868
166	4191	20906
167	4226	20929
168	4260	20951
169	4289	20944
170	4324	20964
171	4355	20965
172	4388	20976
173	4420	20984
174	4451	20985
175	4483	20991
176	4517	21004
177	4551	21019
178	4581	21015
179	4612	21010
180	4642	21008
181	4675	21014
182	4710	21028
183	4744	21038
184	4772	21023
185	4796	20993
186	4827	20988
187	4858	20986
188	4881	20947
189	4906	20915
190	4938	20917
191	4974	20933
192	5004	20925
193	5037	20928
194	5068	20925
195	5096	20907
196	5129	20909
197	5163	20913
198	5193	20904
199	5225	20900
200	5254	20888
201	5281	20863
202	5311	20855
203	5340	20837
204	5372	20833
205	5399	20812
206	5425	20784
207	5453	20765
208	5477	20730
209	5504	20706
210	5531	20683
211	5561	20670
212	5589	20652
213	5616	20627
214	5645	20613
215	5675	20601
216	5707	20593
217	5740	20592
218	5769	20573
219	5798	20559
220	5830	20550
221	5858	20531
222	5888	20517
223	5918	20504
224	5951	20499
225	5985	20497
226	6014	20481
227	6045	20468
228	6075	20454
229	6103	20434
230	6137	20431
231	6172	20434
232	6208	20436
233	6240	20428
234	6280	20445
235	6308	20421
236	6332	20386
237	6362	20370
238	6386	20335
239	6415	20314
240	6445	20297
241	6471	20270
242	6498	20244
243	6525	20219
244	6551	20190
245	6576	20156
246	6604	20135
247	6639	20133
248	6672	20125
249	6705	20115
250	6738	20108
251	6772	20101
252	6804	20090
253	6839	20088
254	6871	20074
255	6904	20065
256	6941	20067
257	6982	20080
258	7016	20074
259	7052	20073
260	7090	20077
261	7129	20083
262	7171	20095
263	7210	20103
264	7246	20098
265	7284	20100
266	7322	20101
267	7354	20086
268	7385	20069
269	7418	20057
270	7454	20053
271	7492	20054
272	7527	20046
273	7565	20047
274	7598	20031
275	7638	20037
276	7670	20021
277	7710	20024
278	7743	20010
279	7788	20026
280	7823	20018
281	7861	20015
282	7893	19998
283	7928	19988
284	7970	19996
285	7997	19965
286	8042	19980
287	8075	19965
288	8112	19959
289	8149	19951
290	8185	19942
291	8219	19929
292	8254	19917
293	8292	19914
294	8330	19909
295	8379	19928
296	8413	19915
297	8448	19903
298	8481	19885
299	8514	19868
300	8548	19852
301	8581	19832
302	8613	19813
303	8647	19798
304	8686	19794
305	8721	19780
306	8832	19938
307	8871	19932
308	8906	19917
309	8941	19903
310	8982	19901
311	9015	19880
312	9056	19877
313	9090	19859
314	9128	19851
315	9164	19837
316	9194	19810
317	9224	19783
318	9256	19760
319	9284	19730
320	9317	19708
321	9349	19686
322	9384	19668
323	9416	19647
324	9446	19620
325	9476	19593
326	9510	19574
327	9543	19553
328	9574	19527
329	9608	19508
330	9637	19479
331	9673	19463
332	9708	19446
333	9747	19437
334	9781	19416
335	9814	19395
336	9846	19372
337	9879	19349
338	9912	19327
339	9944	19303
340	9975	19277
341	10006	19251
342	10034	19220
343	10062	19189
344	10095	19167
345	10129	19147
346	10163	19126
347	10194	19099
348	10226	19075
349	10260	19056
350	10290	19027
351	10324	19006
352	10360	18990
353	10399	18976
354	10432	18955
355	10467	18935
356	10493	18900
357	10521	18868
358	10548	18834
359	10580	18810
360	10612	18785
361	10646	18763
362	10683	18746
363	10714	18720
364	10744	18693
365	10771	18659
366	10804	18635
367	10829	18598
368	10866	18581
369	10900	18560
370	10936	18541
371	10974	18526
372	11008	18505
373	11050	18496
374	11085	18475
375	11121	18456
376	11154	18433
377	11185	18405
378	11219	18383
379	11260	18371
380	11297	18354
381	11331	18331
382	11367	18312
383	11400	18287
384	11430	18259
385	11466	18239
386	11498	18212
387	11527	18181
388	11558	18154
389	11590	18128
390	11620	18099
391	11657	18080
392	11690	18056
393	11724	18033
394	11755	18004
395	11782	17971
396	11812	17942
397	11854	17930
398	11891	17911
399	11926	17889
400	11956	17860
401	11987	17832
402	12019	17805
403	12054	17783
404	12083	17752
405	12115	17725
406	12148	17700
407	12181	17675
408	12212	17647
409	12249	17627
410	12282	17601
411	12311	17570
412	12343	17543
413	12377	17519
414	12409	17492
415	12440	17463
416	12471	17436
417	12498	17402
418	12530	17375
419	12572	17362
420	12602	17331
421	12635	17306
422	12675	17290
423	12706	17261
424	12737	17232
425	12769	17205
426	12799	17175
427	12836	17155
428	12875	17136
429	12910	17114
430	12952	17099
431	12991	17081
432	13027	17059
433	13058	17029
434	13086	16997
435	13116	16967
436	13145	16935
437	13173	16902
438	13199	16868
439	13223	16829
440	13247	16792
441	13274	16757
442	13300	16723
443	13324	16685
444	13349	16649
445	13376	16615
446	13403	16582
447	13435	16554
448	13468	16528
449	13501	16501
450	13532	16472
451	13561	16441
452	13600	16422
453	13627	16388
454	13654	16355
455	13683	16324
456	13713	16294
457	13739	16259
458	13765	16224
459	13791	16190
460	13817	16155
461	13844	16121
462	13876	16094
463	13907	16065
464	13936	16034
465	13971	16009
466	13992	15969
467	14019	15936
468	14044	15901
469	14071	15867
470	14102	15838
471	14130	15807
472	14159	15775
473	14188	15744
474	14214	15711
475	14243	15679
476	14268	15644
477	14302	15619
478	14337	15594
479	14371	15569
480	14403	15541
481	14433	15511
482	14464	15482
483	14494	15452
484	14522	15420
485	14555	15394
486	14581	15360
487	14617	15336
488	14645	15304
489	14678	15277
490	14704	15243
491	14732	15212
492	14757	15176
493	14782	15141
494	14811	15110
495	14843	15083
496	14877	15056
497	14902	15021
498	14929	14989
499	14958	14958
500	14988	14928
501	15020	14901
502	15051	14871
503	15085	14845
504	15120	14821
505	15154	14794
506	15189	14769
507	15223	14744
508	15255	14716
509	15295	14695
510	15327	14667
511	15357	14637
512	15392	14612
513	15420	14580
514	15450	14550
515	15481	14521
516	15514	14494
517	15547	14466
518	15581	14441
519	15612	14411
520	15644	14383
521	15671	14350
522	15700	14319
523	15726	14286
524	15754	14253
525	15781	14221
526	15808	14188
527	15834	14155
528	15861	14122
529	15888	14089
530	15917	14058
531	15944	14025
532	15972	13994
533	16001	13963
534	16032	13934
535	16055	13898
536	16088	13871
537	16117	13840
538	16141	13805
539	16173	13777
540	16202	13746
541	16228	13713
542	16252	13678
543	16278	13645
544	16311	13617
545	16341	13588
546	16376	13562
547	16403	13530
548	16434	13500
549	16463	13469
550	16490	13438
551	16517	13405
552	16547	13375
553	16578	13346
554	16601	13310
555	16630	13280
556	16657	13248
557	16681	13213
558	16710	13182
559	16736	13149
560	16761	13116
561	16781	13078
562	16805	13044
563	16828	13009
564	16853	12975
565	16875	12940
566	16899	12905
567	16922	12870
568	16945	12835
569	16968	12800
570	16990	12765
571	17014	12730
572	17038	12697
573	17063	12663
574	17093	12634
575	17118	12601
576	17142	12567
577	17170	12536
578	17198	12505
579	17231	12477
580	17261	12448
581	17287	12416
582	17310	12381
583	17338	12350
584	17365	12319
585	17394	12288
586	17423	12258
587	17452	12228
588	17480	12197
589	17506	12165
590	17533	12133
591	17559	12102
592	17591	12073
593	17617	12041
594	17641	12008
595	17664	11973
596	17688	11940
597	17715	11909
598	17741	11876
599	17770	11846
600	17794	11813
601	17819	11780
602	17843	11747
603	17870	11716
604	17894	11683
605	17921	11651
606	17944	11618
607	17971	11586
608	17991	11551
609	18019	11520
610	18041	11486
611	18069	11456
612	18094	11423
613	18122	11392
614	18149	11361
615	18177	11331
616	18211	11304
617	18238	11273
618	18269	11245
619	18298	11215
620	18328	11186
621	18356	11155
622	18383	11124
623	18414	11096
624	18446	11068
625	18478	11039
626	18505	11008
627	18535	10979
628	18567	10951
629	18603	10925
630	18635	10897
631	18666	10868
632	18698	10841
633	18735	10815
634	18766	10787
635	18794	10756
636	18828	10729
637	18862	10702
638	18889	10671
639	18918	10641
640	18943	10609
641	18969	10577
642	19001	10550
643	19034	10522
644	19069	10495
645	19100	10466
646	19131	10438
647	19166	10411
648	19199	10383
649	19229	10354
650	19256	10323
651	19287	10294
652	19316	10264
653	19341	10232
654	19365	10199
655	19390	10168
656	19419	10138
657	19445	10107
658	19475	10077
659	19508	10049
660	19539	10021
661	19571	9992
662	19603	9964
663	19628	9932
664	19654	9901
665	19679	9869
666	19709	9840
667	19739	9810
668	19773	9783
669	19801	9752
670	19831	9723
671	19860	9693
672	19887	9662
673	19921	9635
674	19952	9606
675	19978	9575
676	20017	9550
677	20055	9525
678	20087	9496
679	20120	9468
680	20155	9441
681	20187	9412
682	20218	9383
683	20250	9355
684	20282	9326
685	20315	9298
686	20346	9269
687	20374	9239
688	20406	9211
689	20436	9181
690	20464	9151
691	20495	9122
692	20533	9096
693	20568	9069
694	20600	9040
695	20629	9010
696	20656	8979
697	20685	8950
698	20710	8918
699	20738	8887
700	20768	8858
701	20801	8830
702	20828	8799
703	20862	8771
704	20892	8742
705	20930	8715
706	20965	8688
707	21002	8662
708	21035	8633
709	21066	8604
710	21103	8577
711	21138	8550
712	21166	8519
713	21204	8493
714	21241	8467
715	21273	8438
716	21304	8408
717	21341	8382
718	21379	8355
719	21414	8327
720	21445	8298
721	21478	8270
722	21511	8241
723	21549	8214
724	21583	8186
725	21624	8161
726	21659	8133
727	21698	8107
728	21736	8080
729	21772	8052
730	21809	8025
731	21843	7997
732	21879	7969
733	21923	7944
734	21957	7916
735	22002	7892
736	22041	7865
737	22077	7837
738	22119	7812
739	22156	7784
740	22203	7760
741	22239	7732
742	22277	7705
743	22316	7678
744	22354	7651
745	22396	7625
746	22435	7598
747	22468	7569
748	22502	7540
749	22536	7512
750	22571	7483
751	22601	7453
752	22634	7424
753	22673	7397
754	22716	7371
755	22758	7345
756	22795	7317
757	22831	7289
758	22867	7260
759	22902	7232
760	22937	7203
761	22969	7174
762	23001	7144
763	23035	7115
764	23069	7086
765	23107	7058
766	23139	7029
767	23176	7001
768	23211	6972
769	23250	6944
770	23287	6916
771	23324	6888
772	23357	6859
773	23391	6830
774	23425	6801
775	23463	6773
776	23501	6744
777	23545	6718
778	23579	6689
779	23622	6662
780	23658	6634
781	23692	6604
782	23728	6576
783	23768	6548
784	23810	6521
785	23855	6494
786	23895	6467
787	23934	6439
788	23973	6411
789	24012	6383
790	24050	6354
791	24085	6325
792	24122	6296
793	24154	6266
794	24188	6237
795	24224	6208
796	24266	6180
797	24304	6152
798	24337	6122
799	24369	6092
800	24403	6062
801	24443	6034
802	24477	6004
803	24504	5973
804	24539	5944
805	24573	5914
806	24607	5885
807	24638	5854
808	24662	5822
809	24694	5792
810	24731	5763
811	24759	5732
812	24793	5702
813	24831	5673
814	24868	5644
815	24906	5616
816	24941	5586
817	24975	5556
818	25022	5530
819	25056	5500
820	25096	5471
821	25131	5442
822	25165	5412
823	25200	5382
824	25240	5354
825	25270	5323
826	25303	5293
827	25339	5263
828	25375	5234
829	25400	5202
830	25431	5172
831	25462	5141
832	25493	5110
833	25527	5080
834	25561	5051
835	25594	5020
836	25635	4992
837	25669	4962
838	25703	4932
839	25731	4901
840	25763	4870
841	25795	4840
842	25826	4809
843	25856	4779
844	25886	4748
845	25915	4717
846	25941	4685
847	25972	4655
848	26012	4626
849	26047	4596
850	26078	4566
851	26099	4533
852	26133	4503
853	26165	4473
854	26191	4441
855	26219	4410
856	26260	4381
857	26296	4352
858	26341	4323
859	26378	4294
860	26414	4264
861	26444	4233
862	26476	4203
863	26516	4173
864	26548	4143
865	26580	4112
866	26616	4082
867	26639	4051
868	26668	4020
869	26696	3989
870	26732	3959
871	26764	3928
872	26794	3897
873	26823	3867
874	26856	3836
875	26896	3807
876	26925	3776
877	26957	3745
878	26993	3715
879	27029	3685
880	27066	3656
881	27097	3625
882	27130	3594
883	27163	3564
884	27192	3533
885	27226	3503
886	27260	3472
887	27291	3442
888	27321	3411
889	27359	3381
890	27390	3350
891	27433	3321
892	27466	3291
893	27495	3260
894	27528	3229
895	27556	3198
896	27587	3167
897	27619	3137
898	27654	3106
899	27687	3076
900	27720	3045
901	27746	3014
902	27772	2983
903	27806	2952
904	27841	2922
905	27873	2891
906	27907	2861
907	27940	2830
908	27979	2801
909	28013	2770
910	28051	2740
911	28085	2710
912	28126	2680
913	28157	2649
914	28192	2618
915	28227	2588
916	28267	2558
917	28306	2528
918	28340	2497
919	28374	2467
920	28405	2436
921	28439	2405
922	28470	2375
923	28502	2344
924	28544	2314
925	28578	2283
926	28607	2252
927	28641	2222
928	28676	2191
929	28716	2161
930	28748	2130
931	28775	2099
932	28804	2068
933	28842	2038
934	28906	2009
935	28937	1978
936	28971	1947
937	29000	1916
938	29030	1885
939	29064	1855
940	29093	1824
941	29123	1793
942	29152	1762
943	29181	1731
944	29210	1700
945	29239	1669
946	29272	1638
947	29303	1607
948	29337	1576
949	29368	1545
950	29401	1514
951	29429	1483
952	29463	1453
953	29491	1421
954	29521	1391
955	29549	1360
956	29576	1328
957	29604	1297
958	29633	1266
959	29665	1236
960	29696	1205
961	29725	1174
962	29759	1143
963	29791	1112
964	29819	1081
965	29853	1050
966	29881	1019
967	29912	988
968	29941	957
969	29972	926
970	30003	896
971	30033	865
972	30065	834
973	30097	803
974	30130	772
975	30167	741
976	30200	710
977	30235	680
978	30271	649
979	30300	618
980	30339	587
981	30365	556
982	30391	525
983	30424	494
984	30452	463
985	30482	432
986	30515	401
987	30545	371
988	30573	340
989	30606	309
990	30640	278
991	30670	247
992	30700	216
993	30730	185
994	30757	154
995	30788	123
996	30815	92
997	30849	61
998	30881	30
999	30912	0
